'Elapsed time','ECG','Resp C','Resp A','Resp N','SpO2'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV'
'0:00.000',-0.230,-0.068,-0.062,-0.502,92.000
'0:00.010',-0.105,-0.067,-0.061,-0.503,92.000
'0:00.020',0.000,-0.066,-0.060,-0.504,92.000
'0:00.030',0.000,-0.065,-0.060,-0.505,92.000
'0:00.040',0.060,-0.064,-0.059,-0.506,92.000
'0:00.050',0.090,-0.063,-0.058,-0.507,92.000
'0:00.060',0.025,-0.064,-0.059,-0.507,92.000
'0:00.070',0.100,-0.065,-0.060,-0.508,92.000
'0:00.080',0.135,-0.067,-0.060,-0.508,92.000
'0:00.090',0.560,-0.068,-0.061,-0.509,92.000
'0:00.100',0.730,-0.069,-0.062,-0.510,92.000
'0:00.110',0.285,-0.068,-0.062,-0.508,92.000
'0:00.120',-0.860,-0.068,-0.062,-0.506,92.000
'0:00.130',-2.800,-0.068,-0.063,-0.504,92.000
'0:00.140',-1.950,-0.068,-0.063,-0.503,92.000
'0:00.150',-1.400,-0.068,-0.063,-0.501,92.000
'0:00.160',-0.540,-0.068,-0.063,-0.495,92.000
'0:00.170',0.025,-0.068,-0.063,-0.489,92.000
'0:00.180',-0.060,-0.068,-0.063,-0.483,92.000
'0:00.190',0.095,-0.068,-0.064,-0.477,92.000
'0:00.200',0.010,-0.069,-0.064,-0.471,92.000
'0:00.210',0.070,-0.070,-0.065,-0.461,92.000
'0:00.220',-0.015,-0.072,-0.066,-0.451,92.000
'0:00.230',0.070,-0.074,-0.067,-0.441,92.000
'0:00.240',-0.015,-0.076,-0.068,-0.431,92.000
'0:00.250',-0.005,-0.078,-0.070,-0.422,92.000
'0:00.260',-0.030,-0.079,-0.071,-0.410,92.000
'0:00.270',0.010,-0.080,-0.072,-0.398,92.000
'0:00.280',-0.065,-0.082,-0.073,-0.386,92.000
'0:00.290',0.040,-0.083,-0.074,-0.375,92.000
'0:00.300',0.035,-0.085,-0.075,-0.363,92.000
'0:00.310',0.055,-0.087,-0.076,-0.350,92.000
'0:00.320',0.015,-0.089,-0.078,-0.338,92.000
'0:00.330',0.090,-0.091,-0.080,-0.326,92.000
'0:00.340',0.080,-0.093,-0.081,-0.313,92.000
'0:00.350',0.110,-0.095,-0.083,-0.301,92.000
'0:00.360',0.045,-0.096,-0.084,-0.289,92.000
'0:00.370',0.050,-0.097,-0.086,-0.276,92.000
'0:00.380',-0.045,-0.099,-0.087,-0.264,92.000
'0:00.390',0.005,-0.100,-0.089,-0.251,92.000
'0:00.400',-0.085,-0.102,-0.090,-0.239,92.000
'0:00.410',-0.285,-0.102,-0.091,-0.227,92.000
'0:00.420',-0.485,-0.103,-0.091,-0.215,92.000
'0:00.430',-0.905,-0.104,-0.092,-0.203,92.000
'0:00.440',-0.650,-0.105,-0.093,-0.191,92.000
'0:00.450',-0.515,-0.105,-0.093,-0.178,92.000
'0:00.460',-0.320,-0.107,-0.095,-0.167,92.000
'0:00.470',-0.250,-0.109,-0.096,-0.155,92.000
'0:00.480',2.020,-0.111,-0.098,-0.144,92.000
'0:00.490',1.385,-0.112,-0.099,-0.132,92.000
'0:00.500',-0.160,-0.114,-0.100,-0.120,92.000
'0:00.510',-0.595,-0.115,-0.102,-0.109,92.000
'0:00.520',-0.080,-0.117,-0.103,-0.098,92.000
'0:00.530',-0.190,-0.118,-0.105,-0.087,92.000
'0:00.540',0.100,-0.120,-0.106,-0.076,92.000
'0:00.550',0.230,-0.121,-0.107,-0.065,92.000
'0:00.560',0.500,-0.122,-0.108,-0.054,92.000
'0:00.570',1.795,-0.124,-0.109,-0.044,92.000
'0:00.580',0.765,-0.125,-0.110,-0.034,92.000
'0:00.590',0.860,-0.127,-0.112,-0.024,92.000
'0:00.600',0.625,-0.128,-0.113,-0.013,92.000
'0:00.610',0.550,-0.130,-0.114,-0.004,92.000
'0:00.620',0.235,-0.133,-0.116,0.006,92.000
'0:00.630',0.455,-0.135,-0.118,0.015,92.000
'0:00.640',0.965,-0.138,-0.120,0.025,92.000
'0:00.650',0.905,-0.140,-0.122,0.035,92.000
'0:00.660',0.740,-0.142,-0.123,0.044,92.000
'0:00.670',0.590,-0.144,-0.125,0.053,92.000
