'Elapsed time','Resp C','Resp A','Resp N','SpO2'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.000',-0.140,-0.144,0.109,93.000
'0:00.010',-0.141,-0.146,0.114,93.000
'0:00.020',-0.141,-0.149,0.120,93.000
'0:00.030',-0.141,-0.152,0.125,93.000
'0:00.040',-0.141,-0.154,0.131,93.000
'0:00.050',-0.142,-0.157,0.136,93.000
'0:00.060',-0.143,-0.160,0.141,93.000
'0:00.070',-0.144,-0.164,0.146,93.000
'0:00.080',-0.145,-0.168,0.151,93.000
'0:00.090',-0.146,-0.172,0.156,93.000
'0:00.100',-0.147,-0.176,0.162,93.000
'0:00.110',-0.148,-0.177,0.166,93.000
'0:00.120',-0.150,-0.178,0.171,93.000
'0:00.130',-0.152,-0.179,0.175,93.000
'0:00.140',-0.153,-0.180,0.180,93.000
'0:00.150',-0.155,-0.181,0.185,93.000
'0:00.160',-0.156,-0.185,0.189,93.000
'0:00.170',-0.157,-0.188,0.193,93.000
'0:00.180',-0.158,-0.192,0.196,93.000
'0:00.190',-0.160,-0.195,0.200,93.000
'0:00.200',-0.161,-0.199,0.204,93.000
'0:00.210',-0.161,-0.209,0.208,93.000
'0:00.220',-0.160,-0.219,0.211,93.000
'0:00.230',-0.160,-0.229,0.215,93.000
'0:00.240',-0.160,-0.240,0.218,93.000
'0:00.250',-0.159,-0.250,0.222,93.000
'0:00.260',-0.159,-0.258,0.225,93.000
'0:00.270',-0.158,-0.266,0.228,93.000
'0:00.280',-0.158,-0.275,0.231,93.000
'0:00.290',-0.157,-0.283,0.234,93.000
'0:00.300',-0.157,-0.291,0.237,93.000
'0:00.310',-0.157,-0.292,0.240,93.000
'0:00.320',-0.158,-0.292,0.242,93.000
'0:00.330',-0.159,-0.293,0.245,93.000
'0:00.340',-0.160,-0.294,0.247,93.000
'0:00.350',-0.160,-0.295,0.250,93.000
'0:00.360',-0.160,-0.296,0.252,93.000
'0:00.370',-0.161,-0.297,0.254,93.000
'0:00.380',-0.161,-0.298,0.257,93.000
'0:00.390',-0.161,-0.299,0.259,93.000
'0:00.400',-0.161,-0.300,0.261,93.000
'0:00.410',-0.162,-0.302,0.263,93.000
'0:00.420',-0.162,-0.305,0.265,93.000
'0:00.430',-0.163,-0.307,0.267,93.000
'0:00.440',-0.163,-0.310,0.269,93.000
'0:00.450',-0.164,-0.312,0.271,93.000
'0:00.460',-0.163,-0.316,0.273,93.000
'0:00.470',-0.162,-0.319,0.275,93.000
'0:00.480',-0.162,-0.322,0.277,93.000
'0:00.490',-0.161,-0.326,0.280,93.000
'0:00.500',-0.160,-0.329,0.282,93.000
'0:00.510',-0.160,-0.331,0.283,93.000
'0:00.520',-0.159,-0.333,0.285,93.000
'0:00.530',-0.158,-0.335,0.287,93.000
'0:00.540',-0.158,-0.338,0.289,93.000
'0:00.550',-0.157,-0.340,0.290,93.000
'0:00.560',-0.158,-0.340,0.292,93.000
'0:00.570',-0.159,-0.341,0.293,93.000
'0:00.580',-0.159,-0.341,0.294,93.000
'0:00.590',-0.160,-0.341,0.295,93.000
'0:00.600',-0.161,-0.342,0.297,93.000
