'Elapsed time','Resp C','Resp A','Resp N','SpO2'
'hh:mm:ss.mmm','mV','mV','mV','mV'
'0:00.000',-0.114,-0.945,-0.034,0.000
'0:00.010',-0.113,-0.945,-0.034,0.000
'0:00.020',-0.113,-0.946,-0.034,0.000
'0:00.030',-0.113,-0.946,-0.034,0.000
'0:00.040',-0.113,-0.947,-0.034,0.000
'0:00.050',-0.113,-0.947,-0.034,0.000
'0:00.060',-0.112,-0.945,-0.034,0.000
'0:00.070',-0.111,-0.942,-0.034,0.000
'0:00.080',-0.110,-0.940,-0.034,0.000
'0:00.090',-0.108,-0.937,-0.034,0.000
'0:00.100',-0.107,-0.934,-0.034,0.000
'0:00.110',-0.109,-0.938,-0.034,0.000
'0:00.120',-0.112,-0.941,-0.034,0.000
'0:00.130',-0.114,-0.945,-0.034,0.000
'0:00.140',-0.116,-0.948,-0.034,0.000
'0:00.150',-0.118,-0.951,-0.034,0.000
'0:00.160',-0.113,-0.944,-0.034,0.000
'0:00.170',-0.108,-0.937,-0.034,0.000
'0:00.180',-0.103,-0.929,-0.034,0.000
'0:00.190',-0.098,-0.922,-0.034,0.000
'0:00.200',-0.094,-0.915,-0.034,0.000
'0:00.210',-0.099,-0.924,-0.034,0.000
'0:00.220',-0.104,-0.932,-0.034,0.000
'0:00.230',-0.109,-0.941,-0.034,0.000
'0:00.240',-0.114,-0.950,-0.034,0.000
'0:00.250',-0.119,-0.959,-0.034,0.000
'0:00.260',-0.111,-0.944,-0.034,0.000
'0:00.270',-0.104,-0.930,-0.034,0.000
'0:00.280',-0.096,-0.916,-0.034,0.000
'0:00.290',-0.089,-0.901,-0.034,0.000
'0:00.300',-0.081,-0.887,-0.034,0.000
'0:00.310',-0.090,-0.903,-0.034,0.000
'0:00.320',-0.100,-0.920,-0.034,0.000
'0:00.330',-0.109,-0.936,-0.034,0.000
'0:00.340',-0.119,-0.952,-0.034,0.000
'0:00.350',-0.128,-0.969,-0.033,0.000
'0:00.360',-0.100,-0.919,-0.033,0.000
'0:00.370',-0.072,-0.870,-0.033,0.000
'0:00.380',-0.044,-0.821,-0.033,0.000
'0:00.390',-0.017,-0.771,-0.033,0.000
'0:00.400',0.011,-0.722,-0.034,0.000
'0:00.410',0.179,-0.412,-0.034,0.000
'0:00.420',0.347,-0.101,-0.034,0.000
'0:00.430',0.515,0.209,-0.035,0.000
'0:00.440',0.683,0.520,-0.035,0.000
'0:00.450',0.851,0.831,-0.035,0.000
'0:00.460',0.916,0.959,-0.035,0.000
'0:00.470',0.981,1.088,-0.034,0.000
'0:00.480',1.046,1.216,-0.033,0.000
'0:00.490',1.111,1.345,-0.033,0.000
'0:00.500',1.177,1.474,-0.032,0.000
'0:00.510',1.156,1.437,-0.032,0.000
'0:00.520',1.136,1.401,-0.032,0.000
'0:00.530',1.115,1.365,-0.031,0.000
'0:00.540',1.095,1.328,-0.031,0.000
'0:00.550',1.075,1.292,-0.031,0.000
'0:00.560',1.086,1.312,-0.031,0.000
'0:00.570',1.097,1.332,-0.031,0.000
'0:00.580',1.108,1.351,-0.031,0.000
'0:00.590',1.119,1.371,-0.031,0.000
'0:00.600',1.131,1.391,-0.031,0.000
'0:00.610',1.123,1.377,-0.030,0.000
'0:00.620',1.114,1.363,-0.029,0.000
'0:00.630',1.106,1.348,-0.027,0.000
'0:00.640',1.098,1.334,-0.026,0.000
'0:00.650',1.090,1.320,-0.025,0.000
'0:00.660',1.094,1.327,-0.025,0.000
'0:00.670',1.098,1.334,-0.025,0.000
'0:00.680',1.102,1.340,-0.024,0.000
'0:00.690',1.105,1.347,-0.024,0.000
'0:00.700',1.109,1.354,-0.024,0.000
'0:00.710',1.105,1.348,-0.025,0.000
'0:00.720',1.102,1.342,-0.025,0.000
'0:00.730',1.098,1.336,-0.026,0.000
'0:00.740',1.094,1.331,-0.027,0.000
'0:00.750',1.090,1.325,-0.027,0.000
'0:00.760',1.091,1.326,-0.027,0.000
'0:00.770',1.091,1.327,-0.027,0.000
'0:00.780',1.091,1.328,-0.027,0.000
'0:00.790',1.092,1.330,-0.027,0.000
'0:00.800',1.093,1.331,-0.027,0.000
'0:00.810',1.092,1.330,-0.027,0.000
'0:00.820',1.091,1.329,-0.028,0.000
'0:00.830',1.091,1.328,-0.028,0.000
'0:00.840',1.090,1.327,-0.029,0.000
'0:00.850',1.089,1.325,-0.029,0.000
'0:00.860',1.087,1.321,-0.030,0.000
'0:00.870',1.085,1.317,-0.031,0.000
'0:00.880',1.082,1.312,-0.031,0.000
'0:00.890',1.080,1.308,-0.032,0.000
'0:00.900',1.077,1.304,-0.033,0.000
'0:00.910',1.080,1.309,-0.033,0.000
'0:00.920',1.083,1.314,-0.033,0.000
'0:00.930',1.086,1.320,-0.033,0.000
'0:00.940',1.088,1.325,-0.033,0.000
'0:00.950',1.091,1.330,-0.033,0.000
'0:00.960',1.085,1.319,-0.033,0.000
'0:00.970',1.080,1.308,-0.033,0.000
'0:00.980',1.074,1.296,-0.033,0.000
'0:00.990',1.068,1.285,-0.033,0.000
'0:01.000',1.062,1.273,-0.033,0.000
'0:01.010',1.069,1.286,-0.033,0.000
'0:01.020',1.075,1.298,-0.033,0.000
'0:01.030',1.081,1.311,-0.033,0.000
'0:01.040',1.087,1.323,-0.032,0.000
'0:01.050',1.093,1.336,-0.032,0.000
'0:01.060',1.081,1.314,-0.032,0.000
'0:01.070',1.069,1.291,-0.033,0.000
'0:01.080',1.057,1.269,-0.033,0.000
'0:01.090',1.045,1.247,-0.033,0.000
'0:01.100',1.033,1.225,-0.033,0.000
'0:01.110',1.048,1.254,-0.033,0.000
'0:01.120',1.064,1.283,-0.033,0.000
'0:01.130',1.079,1.311,-0.033,0.000
'0:01.140',1.095,1.340,-0.033,0.000
'0:01.150',1.111,1.369,-0.033,0.000
'0:01.160',1.049,1.256,-0.033,0.000
'0:01.170',0.987,1.142,-0.033,0.000
'0:01.180',0.925,1.029,-0.033,0.000
'0:01.190',0.863,0.915,-0.033,0.000
'0:01.200',0.801,0.802,-0.033,0.000
'0:01.210',0.637,0.491,-0.033,0.000
'0:01.220',0.473,0.181,-0.033,0.000
'0:01.230',0.310,-0.129,-0.033,0.000
'0:01.240',0.146,-0.440,-0.034,0.000
'0:01.250',-0.018,-0.750,-0.034,0.000
'0:01.260',-0.046,-0.808,-0.034,0.000
'0:01.270',-0.074,-0.865,-0.034,0.000
'0:01.280',-0.102,-0.923,-0.034,0.000
'0:01.290',-0.130,-0.980,-0.034,0.000
'0:01.300',-0.158,-1.038,-0.034,0.000
'0:01.310',-0.146,-1.015,-0.034,0.000
'0:01.320',-0.134,-0.992,-0.034,0.000
'0:01.330',-0.123,-0.969,-0.034,0.000
'0:01.340',-0.111,-0.946,-0.034,0.000
'0:01.350',-0.100,-0.923,-0.034,0.000
'0:01.360',-0.108,-0.937,-0.034,0.000
